aid,amount,title,year,startdate,enddate,dir,div
1600011,122453,"Non-Archimedean Techniques in Analysis, Dynamics, and Geometry",2016,0,0,MPS,MS
1600012,1996139,Coastal SEES: Enhancing sustainability in coastal communities threatened by harmful algal blooms by advancing and integrating environmental and socio-economic modeling,2016,0,0,GEO,OS
1600014,10500,"Conference: Evolution Equations on Singular Spaces; Luminy, France; April 25-29, 2016",2016,0,0,MPS,MS
1600016,83117,Rapid proposal: Fires and floods: Acquisition and analysis of perishable data on the sustainability of reservoirs following wildfires,2015,0,0,ENG,CBETS
1600017,50000,I-Corps: A Tissue-engineered Nipple-Areolar Complex,2015,0,0,ENG,IIP
1600018,185436,Collaborative Research: P2C2--Ultra-High-Resolution Investigation of High Andean Snow and Ice Chemistry to Improve Paleoclimatic Reconstruction and Enhance Climate Prediction,2016,0,0,GEO,AGS
1600023,180000,Linear Partial Differential Equations on Singular Spaces,2016,0,0,MPS,MS
1600024,130476,The Regularity of Cauchy-Riemann Mappings and Solutions of Systems of Nonlinear Partial Differential Equations,2016,0,0,MPS,MS
1600028,73000,Long Term Regularity of Solutions of Fluid Models,2016,0,0,MPS,MS
1600032,158004,New Methods in Tensor Triangular Geometry,2016,0,0,MPS,MS
1600043,17500,Robotics Activities at Association for the Advancement of Artificial Intelligence (AAAI) 2016,2016,0,0,CISE,IIS
1600048,163312,RUI: Structural and enumerative problems on simplicial complexes,2016,0,0,MPS,MS
1600049,479116,"Coastal SEES Collaborative Research: Apex predators, ecosystems and community sustainability (APECS) in coastal Alaska",2016,0,0,GEO,OS
1600051,77284,Index Herbariorum Upgrade: A Project to Improve Access to Information about the World's Plant and Fungal Collections Assets,2016,0,0,BS,BI
1600053,95164,"Coastal SEES Collaborative Research: Apex predators, ecosystems and community sustainability (APECS) in coastal Alaska",2016,0,0,GEO,OS
1600056,65000,"Cohomology, Representations, and Coverings of Curves",2016,0,0,MPS,MS
1600057,306810,Novel States in Spin-Orbit-Coupled and Correlated Materials,2016,0,0,MPS,MR
1600058,499550,TWC: Small: Securing Smart Power Grids under Data Measurement Cyber Threats,2015,0,0,CISE,CNS
1600059,560993,Studies Involving Atoms in High Rydberg States,2016,0,0,MPS,PHYS
1600060,295998,"IUSE: Collaborative Project: Engaged Student Learning: Design and Development, Level I: Broadening the Path to the STEM Profession through Cybersecurity Learning",2015,0,0,EHR,UE
1600061,9000,Analysis of Partial Differential Equations Using Dynamical Systems Techniques,2016,0,0,MPS,MS
1600062,115901,"Coastal SEES Collaborative Research: Sustainability in Chesapeake Bay shorescapes: climate change, management decisions, and ecological functions",2016,0,0,GEO,OS
1600065,130000,"Collaborative Research: Calderon-Zygmund Operators in Highly Irregular Environments, and Applications",2016,0,0,MPS,MS
1600075,135914,EAGER: A Novel Bioprocess for the Valorization of Waste and Biomass,2016,0,0,ENG,CBETS
1600080,258001,Collaborative Research: Carbon Isotope and geotracer-enabled simulation of the Transient Climate Evolution of the Deglacial Ocean (C-iTRACE-O),2016,0,0,GEO,OS
1600081,199507,Additive Manufacturing: Expanding Futures in Appalachia,2016,0,0,EHR,UE
1600085,32073,NDSO2015: National Data Science Organizers Workshop 2015,2016,0,0,CISE,IIS
1600089,407673,"Coastal SEES Collaborative Research: Sustainability in Chesapeake Bay shorescapes: climate change, management decisions, and ecological functions",2016,0,0,GEO,OS
1600109,1749658,"Coastal SEES: Coastal fog-mediated interactions between climate change, upwelling, and coast redwood resilience: Projecting vulnerabilities and the human response",2016,0,0,GEO,OS
1600116,179998,Large Permutations,2016,0,0,MPS,MS
1600117,24967,EAGER: Cultural Produced Resources for Resilience,2016,0,0,SBES,BCS
1600118,310947,Bioprinting of Bone Tissue into Defect Sites on Animal Models in Surgery Settings,2015,0,0,ENG,CMMI
1600120,48481,Science and Social Justice Think Tank,2015,0,0,EHR,UE
1600121,33000,Midwest Several Complex Variables Conference,2016,0,0,MPS,MS
1600124,140000,The Blessing of High Dimension: Asymptotic Geometric Analysis and Its Applications,2016,0,0,MPS,MS
1600129,160000,Nonlinear Partial Differential Equations and Applications,2016,0,0,MPS,MS
1600131,941590,"Coastal SEES Collaborative Research: Sustainability in Chesapeake Bay shorescapes: climate change, management decisions, and ecological functions",2016,0,0,GEO,OS
1600138,205727,Exploration of Millisecond Exposures for Exoplanet Imaging,2016,0,0,MPS,AS
1600139,130000,"Collaborative Research: Calderon-Zygmund Operators in Highly Irregular Environments, and Applications",2016,0,0,MPS,MS
1600140,20000,Student Travel Support for the 14th USENIX File and Storage Technologies conference (FAST 2016),2016,0,0,CISE,CNS
1600143,510890,3D ImPACT: Integrated Project Approach to College Teaching,2016,0,0,EHR,UE
1600149,520150,Coastal SEES Collaborative Research: Climate change impacts on the sustainability of key fisheries of the California Current System,2016,0,0,GEO,OS
1600154,125000,Arithmetic Combinatorics and Applications to Number Theory,2016,0,0,MPS,MS
1600168,49950,A Workshop for Creating a Water Education and Innovative Ecosystem,2016,0,0,ENG,CBETS
