aid,instName,address
1600011,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1600012,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1600014,Northwestern University,"1801 Maple Ave., Evanston, United States"
1600016,Oregon State University,"OREGON STATE UNIVERSITY, Corvallis, United States"
1600017,Tulane University,"6823 ST CHARLES AVENUE, NEW ORLEANS, United States"
1600018,University of Maine,"5717 Corbett Hall, ORONO, United States"
1600023,Northwestern University,"1801 Maple Ave., Evanston, United States"
1600024,Temple University,"3340 N. Broad Street, PHILADELPHIA, United States"
1600028,Princeton University,"Off. of Research & Proj. Admin., Princeton, United States"
1600032,University of California-Los Angeles,"10889 Wilshire Boulevard, LOS ANGELES, United States"
1600043,Association for the Advancement of Artificial Intelligence,"2275 E BAYSHORE RD STE 160, East Palo Alto, United States"
1600048,Seattle University,"901 12th Ave, Seattle, United States"
1600049,University of Alaska Southeast Juneau Campus,"11120 Glacier Highway, Juneau, United States"
1600051,New York Botanical Garden,"2900 Southern Blvd, Bronx, United States"
1600053,University of Alaska Anchorage Campus,"3211 PROVIDENCE DRIVE, ANCHORAGE, United States"
1600056,University of Southern California,"University Park, Los Angeles, United States"
1600057,University of Kentucky Research Foundation,"109 Kinkead Hall, Lexington, United States"
1600058,Syracuse University,"OFFICE OF SPONSORED PROGRAMS, SYRACUSE, United States"
1600059,William Marsh Rice University,"6100 MAIN ST, Houston, United States"
1600060,Wofford College,"429 North Church Street, Spartanburg, United States"
1600061,Trustees of Boston University,"881 COMMONWEALTH AVE, BOSTON, United States"
1600062,Old Dominion University Research Foundation,"4111 Monarch Way, Norfolk, United States"
1600065,Michigan State University,"Office of Sponsored Programs, East Lansing, United States"
1600075,Kansas State University,"2 FAIRCHILD HALL, MANHATTAN, United States"
1600080,University of Wisconsin-Madison,"21 North Park Street, MADISON, United States"
1600081,Kentucky Community & Technical College System,"300 North Main Street, Versailles, United States"
1600085,University of Chicago,"5801 South Ellis Avenue, Chicago, United States"
1600089,College of William and Mary,"Office of Sponsored Programs, Williamsburg, United States"
1600109,University of California - Merced,"5200 North Lake Road, Merced, United States"
